ABI,Advance Boundary Information Message
ACK,Acknowledge Message
ACP,Acceptance Message
ACT,Activation Message
ACH,ATC Flight Plan Change Message
AFP,ATC Flight Plan Proposal Message
AMA,Arrival Management Message
APL,ATC Flight Plan Message
APR,Aircraft Position Report Message
AUP,Airspace Use Plan Message
BFD,Basic Flight Data Message
CAM,Code Assignment Message
CAL,CCAMS Alive Message
CAR,CCAMS Alive Request Message
CCM,Code Cancellation Message
CDN,Co-ordination Message
CFD,Change to Flight Data Message
COR,Code Request Message
CRE,Code Release Message
CRQ,Clearance Request Message
CRP,Clearance Response Message
CNLCOND,ATFM Exceptional Condition Cancellation Message
CNLREG,ATFM Regulation Cancellation Message
COD,SSR Code Assignment Message
COF,Change of Frequency Message
CRAM,Conditional Route Availability Message
DES,De-Suspension Message
DPI,Departure Planning Information Message
EFD,ETFMS Flight Data Message
ERR,Error Message
EXCOND,ATFM Exceptional Condition Notification Message
FCM,Flight Confirmation Message
FLS,Flight Suspension Message
FSA,First System Activation Message
FUM,Flight Update Message
HOP,Hand-Over Proposal Message
IACH,Individual ATC Modification Message
IAFP,Individual ATC Flight Plan Proposal Message
IAPL,Individual ATC Flight Plan Message
IARR,Individual Arrival Message
ICHG,Individual Modification Message
ICNL,Individual Cancellation Message
IDEP,Individual Departure Message
IDLA,Individual Delay Message
IFPL,Individual Flight Plan Message
Title,Definition,Introduced in Section
INF,Information Message
IRPL,Individual Repetitive Flight Plan
IRQP,Individual Request Flight Plan Message
IRQS,Individual Request Supplementary Flight Plan
ISPL,Individual Supplementary Flight Plan
LAM,Logical Acknowledgement Message
LOF,Logon Forward Message
LRM,Logical Rejection Message
MAC,Message for Abrogation of Co-ordination
MAN,Manual Processing Pending Message
MAS,Manual Assumption of Communications Message
MODCOND,ATFM Exceptional Condition Modification Message
MODREG,ATFM Regulation Modification Message
MRA,Mandatory Route Activation Message
MRCNL,Mandatory Route Cancellation Message
MRMOD,Mandatory Route Modification Message
NAN,Next Authority Notified Message
NEWREG,New ATFM Regulation Notification Message
NTA,No Traffic Accepted Message
NTACNL,No Traffic Accepted Cancellation Message
NTAMOD,No Traffic Accepted Modification Message
OCM,Oceanic Clearance Message
OLRA,Off-Load Route Activation Message
OLRCNL,Off-Load Route Cancellation Message
OLRMOD,Off-Load Route Modification Message
PAC,Preliminary Activation Message
PNT,Point Message
RAP,Referred Activate Proposal Message
RCHG,Repetitive Flight Plan Data Modification Message
RCL,Request Oceanic Clearance Message
RCNL,Repetitive Flight Plan Data Cancellation Message
RDY,Ready Message
REJ,Rejection Message
REV,Revision Message
RJC,Reject Co-ordination Message
RJT,Re-Routing Rejection Message
RLS,Release Message
ROF,Request On Frequency Message
RRQ,Release Request Message
RRP,Re-Routing Proposal Message
RRV,Referred Revision Proposal Message
RTI,Request Tactical Instructions Message
SAM,Slot Allocation Message
SBY,Stand-by Message
SCO,Skip Communication
SDM,Supplementary Data Message
SIP,Slot Improvement Proposal Message
SKC,Skip Cancellation Message
SLC,Slot Requirement Cancellation Message
SMM,Slot Missed Message
SPA,Slot Proposal Acceptance Message
Title,Definition,Introduced in Section
SRJ,Slot Proposal Rejection Message
SRM,Slot Revision Message
SRR,Slot Revision Request Message
TIM,Transfer Initiation Message
TIP,Tactical Instructions Proposal Message
UUP,Updated Airspace Use Plan Message
WRN,Warning Message
XAP,Crossing Alternate Proposal Message
XCM,Crossing Cancellation Message
XIN,Crossing Intention Notification Message
XRQ,Crossing Request Message
